Tweet ID,User ID,Bullying_Traces?,Type,Form,Teasing?,Author_Role,Emotion
105730486382497793,322329899,y,self-disclosure,other,n,victim,none
108654820042354688,361869056,n,,,,,
102206417217392640,226320672,n,,,,,
108676972149874688,157724561,n,,,,,
108901271301394432,91457415,n,,,,,
109034091743154176,177913822,n,,,,,
102533497637437441,70412906,y,report,other,n,reporter,none
103441158314790912,221102655,y,self-disclosure,other,y,victim,none
101785736088530944,57086793,n,,,,,
103666331349565440,342437494,n,,,,,
103679008855691264,11363462,n,,,,,
104135742401425408,146960481,n,,,,,
105202476927549441,293593896,n,,,,,
107278521805713408,150964152,n,,,,,
107478741424414720,360086723,n,,,,,
103557373079199744,207378439,y,self-disclosure,other,n,victim,none
106840582453870592,244569315,n,,,,,
103938779231961091,86815267,n,,,,,
101884602586636288,53301091,n,,,,,
105464272934551552,240501669,n,,,,,
101495938232750080,331380807,y,self-disclosure,other,y,bully,none
101821613984591873,322705559,n,,,,,
106150056868061184,61120235,n,,,,,
106449969682198528,16813960,n,,,,,
108219316192817152,169260909,n,,,,,
101405526843338754,15900909,n,,,,,
103925126613045250,14721679,y,self-disclosure,other,n,victim,none
105829798315696128,92643652,n,,,,,
101470751672107010,267800315,n,,,,,
104940761937743874,40004611,n,,,,,
106585060307775489,361673222,y,self-disclosure,other,n,victim,none
101677159214612480,322988853,n,,,,,
104295456787533824,233093898,n,,,,,
105058059436560384,48715116,n,,,,,
100994011858354176,235740563,n,,,,,
101344125294620673,52085663,n,,,,,
109075882429259776,15231049,n,,,,,
100301798807576576,251754874,n,,,,,
102196835317325825,275784822,y,report,other,n,reporter,none
104172001232568320,109381827,n,,,,,
104199536133668864,1380901,n,,,,,
101370759234060289,175925194,n,,,,,
104563058826936321,119585360,n,,,,,
106005555323211776,240649584,n,,,,,
106878682320220160,290573230,n,,,,,
109004189170016256,335990854,n,,,,,
100335301150507008,126301524,y,denial,other,n,bully,none
107585663158861824,328595277,n,,,,,
100254756332769280,108461242,n,,,,,
101885152921260033,82011558,n,,,,,
102072519363805184,237502177,n,,,,,
104855481054539776,335111170,n,,,,,
100976790876602368,87483616,n,,,,,
101528917592125440,69469872,n,,,,,
103864977844207617,69307249,n,,,,,
104826899435491328,94912172,n,,,,,
108042149437779970,181463343,y,self-disclosure,other,y,victim,none
108570195546746880,87764203,n,,,,,
101393229194346496,19300536,n,,,,,
104028556509716480,313424053,y,self-disclosure,other,n,defender,none
106123105822449664,151995997,n,,,,,
106302927731294208,269095847,n,,,,,
108467495408635904,74992098,n,,,,,
108906189210927106,247807726,n,,,,,
102456954470932481,196318040,n,,,,,
104763342576562176,274636968,y,accusation,other,n,accuser,none
106037183856648192,10088582,n,,,,,
108966853661032448,14136089,n,,,,,
102513594234699776,228305170,n,,,,,
106365602037374977,164811132,n,,,,,
108160516131799040,224619837,y,report,other,n,reporter,none
109032023129210880,112493012,n,,,,,
100389920983617536,333576880,n,,,,,
103656353926619137,40430822,n,,,,,
105689281854574592,96792102,y,report,other,n,reporter,none
108149010929434624,122826164,n,,,,,
108549768187351041,61734729,n,,,,,
107258674598256640,201036826,y,report,other,n,reporter,none
100075342470979584,98596937,n,,,,,
105790821579751427,165142562,n,,,,,
105946088254619648,20151008,y,accusation,other,n,accuser,anger
108069148759818240,101243394,n,,,,,
102157160586289153,140507350,n,,,,,
106167344593776640,182229724,n,,,,,
108923568896753664,161030937,n,,,,,
103053755540447232,22076089,y,report,other,n,reporter,none
104757138236256256,90347854,n,,,,,
108734297799794688,160762953,n,,,,,
101350546191028225,217512290,n,,,,,
101658757964103680,207773364,y,self-disclosure,other,n,defender,none
104181309462683649,89790939,y,self-disclosure,other,n,victim,none
